"id","payment_id","region","region_code","circle","circle_code","division_name","division_code","consumer_id","consumer_name","payment_mode","payment_date","punching_date","payment_amount","status","dept_name","dept_code","govrmt_private","arrear_paid","current_bill_paid","status_on_punching","payment_cancelled_date"
1618,399099,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7727022000,MS BALAJI FOOD PROCESSER,NEFT,2024-06-10,2024-06-11,46186,Success, NA,"",PVT,0,46186,CONNECTED,
2887,400444,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8248022000,MS M A P  INDUSTRIES,SBI Collect,2024-06-28,2024-06-30,629941,Success, NA,"",PVT,580766.000,49175.000,CONNECTED,
428,397883,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8307022000,PRECISION INDUSTRIAL SYSTEM,Virtual Account,2024-06-05,2024-06-05,455464,Success, NA,"",PVT,0,455464,CONNECTED,
1731,399172,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8332835326,CEO GWALIOR SMART CITY DEV.CORP.LTD,Virtual Account,2024-06-11,2024-06-11,514085,Success, NAGAR NIGAM OTHER,G00113,GOVT,0,514085,CONNECTED,
649,398142,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8438022000,MS THE DIRECTOROM  BROADCAST  ENGGI.,NEFT,2024-06-06,2024-06-07,242059,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,242059,CONNECTED,
2722,400252,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8527022000,MS. HOTEL SHELTER,Virtual Account,2024-06-28,2024-06-28,200000,Success, NA,"",PVT,159863.000,40137.000,CONNECTED,
120,397624,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8527022000,MS. HOTEL SHELTER,Virtual Account,2024-06-03,2024-06-03,275499,Success, NA,"",PVT,229345.000,46154.000,CONNECTED,
404,397872,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8848022000,THE GARRISON ENGINEER MES,E Payment,2024-06-04,2024-06-05,686429,Success, DEFENCE,G05600,GOVT,0,686429,CONNECTED,
21,397555,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H8900265893,CHANDRA PACK INDUSTRIES,Virtual Account,2024-06-01,2024-06-01,51054,Success, NA,"",PVT,0,51054,CONNECTED,
2682,400094,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H9007022000,THE A.E. PHED (NAGAR NIGAM ),E Payment,2024-06-25,2024-06-26,15000000,Success, PHE-(WATER WORKS),"",GOVT,14240446.000,759554.000,CONNECTED,
942,398478,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H9107022000,DIRECTOR A.B.V. INDIAN INSTITUTE OF INFORM,Virtual Account,2024-06-10,2024-06-10,3241259,Success, SCHOOL EDUCATION DEPARTMENT OTHERS,G01104,GOVT,0,3241259,CONNECTED,
